date,fish_type,origin,gender,weight,size,catch_release,position_number,fly_or_spinner,bait,bait_size,extra_1,extra_2,position_name,position
2017-07-31,Lax,Óþekkt,Hængur,6.5,86.0,,53,Fluga,Frances rauð tuba,15mm,Settur í klak en fannst síðar dauður,,Nesbugða (Neslækur),Svæði 4
2017-07-23,Urriði,Óþekkt,Óþekkt,1.4,47.0,,53,Fluga,óþekkt,,,,Nesbugða (Neslækur),Svæði 4
2017-07-13,Lax,Óþekkt,Hrygna,5.0,78.0,X,53,Spónn,,,,,Nesbugða (Neslækur),Svæði 4
2017-07-01,Urriði,Staðb.,Hængur,2.0,37.0,,53,Spónn,Gyltur og rauður hammer,,,,Nesbugða (Neslækur),Svæði 4
2018-07-31,Urriði,Staðb.,Hængur,2.3,60.0,,53,Fluga,Noel,,,,Nesbugða (Neslækur),Svæði 4
2018-07-31,Bleikja,Óþekkt,Hængur,2.3,54.0,,53,Fluga,Noel,,,,Nesbugða (Neslækur),Svæði 4
2018-07-31,Lax,Sjóg.,Hængur,5.7,82.0,X,53,Fluga,Frances,,Kol lusugur,,Nesbugða (Neslækur),Svæði 4
2018-07-17,Urriði,Óþekkt,Hængur,1.5,48.0,,53,Spónn,Toby,,,,Nesbugða (Neslækur),Svæði 4
2018-07-10,Bleikja,Óþekkt,Hrygna,1.5,47.0,,53,Spónn,Toby,,,,Nesbugða (Neslækur),Svæði 4
2018-07-10,Lax,Sjóg.,Hrygna,4.4,75.0,,53,Fluga,Svört snælda,1/2,,,Nesbugða (Neslækur),Svæði 4
2019-08-04,Lax,Sjóg.,Hængur,3.0,65.0,,53,Fluga,Frances,,,,Nesbugða (Neslækur),Svæði 4
2019-07-12,Urriði,Staðb.,Hængur,1.4,48.0,,53,Fluga,Hálendingur,"1 """,,,Nesbugða (Neslækur),Svæði 4
2020-09-16,Lax,Sjóg.,Hængur,2.4,60.0,,53,Fluga,Sunray shadow,,Klak,,Nesbugða (Neslækur),Svæði 4
2020-09-12,Lax,Sjóg.,Hrygna,5.7,82.0,X,53,Fluga,Rauð Francis,"1/2 """,,,Nesbugða (Neslækur),Svæði 4
2020-09-11,Urriði,Staðb.,Óþekkt,1.3,46.0,,53,Fluga,Allys shrimp,,,,Nesbugða (Neslækur),Svæði 4
2020-09-05,Lax,Óþekkt,Óþekkt,5.7,82.0,,53,Fluga,,,Doddi/kári,,Nesbugða (Neslækur),Svæði 4
2020-09-05,Lax,Óþekkt,Hængur,2.8,64.0,X,53,Fluga,,,Doddi/kári,,Nesbugða (Neslækur),Svæði 4
2020-09-02,Lax,Sjóg.,Hrygna,1.8,55.0,X,53,Fluga,Green but túpa,,,,Nesbugða (Neslækur),Svæði 4
2020-08-29,Lax,Sjóg.,Hængur,3.1,66.0,,53,Fluga,Sunray Shadow,,,,Nesbugða (Neslækur),Svæði 4
2020-08-29,Lax,Sjóg.,Hrygna,5.5,81.0,X,53,Fluga,Frances orange,,,,Nesbugða (Neslækur),Svæði 4
2020-08-27,Lax,Sjóg.,Hrygna,8.0,93.0,X,53,Fluga,Dimmblá,1/4,,,Nesbugða (Neslækur),Svæði 4
2020-08-27,Lax,Sjóg.,Hrygna,7.5,90.0,X,53,Fluga,Dimmblá,1/4,,,Nesbugða (Neslækur),Svæði 4
2020-08-26,Lax,Sjóg.,Hængur,2.7,63.0,X,53,Fluga,Orange Frances,,,,Nesbugða (Neslækur),Svæði 4
2020-08-26,Lax,Sjóg.,Hrygna,1.6,52.0,X,53,Fluga,Rauður Fr.,"1/4""",Nýlegur,,Nesbugða (Neslækur),Svæði 4
2020-08-25,Urriði,Staðb.,Hængur,2.1,54.0,,53,Fluga,Orange krafla,,,,Nesbugða (Neslækur),Svæði 4
2020-08-25,Lax,Óþekkt,Hængur,4.3,74.0,X,53,Fluga,Orange krafla,,,,Nesbugða (Neslækur),Svæði 4
2020-08-21,Lax,Sjóg.,Hængur,2.6,62.0,,53,Fluga,SRS,,,,Nesbugða (Neslækur),Svæði 4
2020-08-16,Urriði,Óþekkt,Óþekkt,1.9,52.0,,53,Fluga,GSG,1/4”,,,Nesbugða (Neslækur),Svæði 4
2020-08-15,Urriði,Óþekkt,Óþekkt,1.0,42.0,,53,Fluga,Rauð frances,10,,,Nesbugða (Neslækur),Svæði 4
2020-08-14,Lax,Sjóg.,Hængur,1.8,60.0,,53,Fluga,Haugur,Hitch,,,Nesbugða (Neslækur),Svæði 4
2020-08-09,Lax,Óþekkt,Hængur,1.6,52.0,X,53,Fluga,Frances,,Lus.,,Nesbugða (Neslækur),Svæði 4
2020-08-05,Bleikja,Óþekkt,Óþekkt,1.4,45.0,X,53,Fluga,snælda,,,,Nesbugða (Neslækur),Svæði 4
2020-08-02,Lax,Óþekkt,Hrygna,2.7,63.0,X,53,Fluga,Frances rauð,1/4,,,Nesbugða (Neslækur),Svæði 4
2020-07-29,Urriði,Óþekkt,Óþekkt,1.2,44.0,,53,Fluga,toby,,,,Nesbugða (Neslækur),Svæði 4
2020-07-28,Lax,Óþekkt,Hængur,2.0,58.0,,53,Spónn,,20g,,,Nesbugða (Neslækur),Svæði 4
2020-07-28,Bleikja,Sjóg.,Óþekkt,2.5,56.0,X,53,Spónn,Toby z,20,,,Nesbugða (Neslækur),Svæði 4
2020-07-27,Lax,Sjóg.,Hrygna,2.1,58.0,X,53,Fluga,Rauð Frances,"1/2""",,,Nesbugða (Neslækur),Svæði 4
2020-07-25,Lax,Sjóg.,Hængur,3.4,68.0,,53,Spónn,Devon,,,,Nesbugða (Neslækur),Svæði 4
2020-07-25,Bleikja,Sjóg.,Óþekkt,1.9,51.0,X,53,Fluga,þýsk snælda,,,,Nesbugða (Neslækur),Svæði 4
2020-07-08,Lax,Óþekkt,Hængur,5.0,78.0,X,53,Spónn,Sv. Toby,,,,Nesbugða (Neslækur),Svæði 4
2021-09-11,Lax,Sjóg.,Hrygna,5.7,82.0,X,53,Fluga,Sv.frances cone,1/2,,,Nesbugða (Neslækur),Svæði 4
2021-09-11,Lax,Sjóg.,Hrygna,5.3,80.0,X,53,Fluga,R.frances cone,1/4,,,Nesbugða (Neslækur),Svæði 4
2021-09-10,Lax,Sjóg.,Hængur,5.0,78.0,X,53,Fluga,Sunray,"1""",,,Nesbugða (Neslækur),Svæði 4
2021-09-04,Lax,Óþekkt,Hængur,1.7,53.0,,53,Fluga,Snælda þýsk,,Binni Jó,,Nesbugða (Neslækur),Svæði 4
2021-08-28,Lax,Sjóg.,Hrygna,3.5,69.0,X,53,Fluga,rauð frances,,,,Nesbugða (Neslækur),Svæði 4
2021-08-28,Urriði,Staðb.,Hængur,1.1,43.0,,53,Fluga,Sunray,,,,Nesbugða (Neslækur),Svæði 4
2021-08-28,Lax,Sjóg.,Hængur,1.2,47.0,,53,Fluga,Sunray,,,,Nesbugða (Neslækur),Svæði 4
2021-08-28,Lax,Óþekkt,Hrygna,3.6,71.0,X,53,Fluga,Sunray,16,,,Nesbugða (Neslækur),Svæði 4
2021-08-28,Lax,Sjóg.,Hrygna,5.3,80.0,X,53,Fluga,Munroe Killer,"1/2""",,,Nesbugða (Neslækur),Svæði 4
2021-08-26,Lax,Sjóg.,Hrygna,1.0,44.0,X,53,Fluga,Dimmblá,8,,,Nesbugða (Neslækur),Svæði 4
2021-08-26,Lax,Sjóg.,Hængur,2.2,59.0,,53,Fluga,Svört Frances,1',,,Nesbugða (Neslækur),Svæði 4
2021-08-25,Lax,Sjóg.,Hængur,2.4,60.0,X,53,Fluga,Green Butt,10,,,Nesbugða (Neslækur),Svæði 4
2021-08-23,Urriði,Óþekkt,Óþekkt,0.5,33.0,X,53,Fluga,,,,,Nesbugða (Neslækur),Svæði 4
2021-08-19,Lax,Sjóg.,Hængur,6.5,86.0,X,53,Fluga,Frances,14,,,Nesbugða (Neslækur),Svæði 4
2021-08-18,Lax,Óþekkt,Hrygna,5.0,78.0,X,53,Fluga,Blá snælda,12,,,Nesbugða (Neslækur),Svæði 4
2021-08-17,Urriði,Staðb.,Óþekkt,2.1,54.0,,53,Fluga,rauður Frances,,,,Nesbugða (Neslækur),Svæði 4
2021-08-16,Lax,Sjóg.,Hængur,2.1,58.0,,53,Fluga,Green butt,"1/2""",,,Nesbugða (Neslækur),Svæði 4
2021-08-13,Lax,Sjóg.,Hrygna,6.3,85.0,X,53,Fluga,GSG,,,,Nesbugða (Neslækur),Svæði 4
2021-08-10,Lax,Sjóg.,Hængur,6.7,87.0,X,53,Fluga,Rauð frances,1/2”,Særður á baki,,Nesbugða (Neslækur),Svæði 4
2021-08-09,Lax,Sjóg.,Hrygna,5.3,80.0,,53,Fluga,Rauð Frances,1”,Í klak,,Nesbugða (Neslækur),Svæði 4
2021-08-09,Lax,Óþekkt,Hængur,6.7,87.0,,53,Fluga,Rauð og svört sunray,"1/2""",Settur í klak,,Nesbugða (Neslækur),Svæði 4
2021-08-06,Urriði,Staðb.,Hængur,1.9,52.0,,53,Fluga,Sunray,,,,Nesbugða (Neslækur),Svæði 4
2021-08-02,Urriði,Óþekkt,Hængur,1.0,42.0,,53,Fluga,Frances,,,,Nesbugða (Neslækur),Svæði 4
2021-07-30,Urriði,Óþekkt,Óþekkt,2.0,53.0,,53,Spónn,Toby,18,,,Nesbugða (Neslækur),Svæði 4
2021-07-27,Lax,Óþekkt,Hængur,2.2,59.0,,53,Fluga,frances rauð,,,,Nesbugða (Neslækur),Svæði 4
2021-07-26,Lax,Óþekkt,Hrygna,6.3,85.0,,53,Fluga,Bismo,,,,Nesbugða (Neslækur),Svæði 4
2021-07-22,Urriði,Staðb.,Óþekkt,0.8,38.0,,53,Fluga,,,,,Nesbugða (Neslækur),Svæði 4
2021-07-17,Lax,Sjóg.,Hængur,7.2,89.0,,53,Spónn,Toby kopar,18gr,,,Nesbugða (Neslækur),Svæði 4
2021-07-17,Lax,Sjóg.,Hængur,7.7,91.0,X,53,Spónn,Toby svartur,18gr,,,Nesbugða (Neslækur),Svæði 4
2010-09-18,Lax,,Hængur,2.6,62.0,X,44,Fluga,Rauð frances,,,,Vatnsleysuhylur,Svæði 3
2010-09-13,Lax,,Hængur,6.3,85.0,X,44,Fluga,Sunray Shadow,14,Sleppt,,Vatnsleysuhylur,Svæði 3
2010-09-10,Lax,,Hrygna,2.6,62.0,,44,Fluga,Sunray,,,,Vatnsleysuhylur,Svæði 3
2010-09-10,Lax,,Hængur,3.0,65.0,,44,Fluga,Þýsk snælda,"1""",,,Vatnsleysuhylur,Svæði 3
2010-09-10,Lax,,Hængur,3.2,67.0,,44,Fluga,Sunray,,,,Vatnsleysuhylur,Svæði 3
2010-09-09,Lax,,Hængur,3.6,70.0,,44,Fluga,Gul,,,,Vatnsleysuhylur,Svæði 3
2010-09-06,Lax,,Hængur,1.7,53.0,,44,Fluga,Snælda,"1/2""",,,Vatnsleysuhylur,Svæði 3
2010-09-03,Lax,,Hængur,8.4,94.0,X,44,Fluga,Svört frances keila,"1/4""",,,Vatnsleysuhylur,Svæði 3
2010-09-01,Lax,,Hængur,3.5,69.0,,44,Fluga,Svört snælda,,,,Vatnsleysuhylur,Svæði 3
2010-09-01,Lax,,Hængur,4.0,71.0,,44,Fluga,Katla,,,,Vatnsleysuhylur,Svæði 3
2010-08-31,Lax,,Hængur,1.5,50.0,,44,Fluga,Rauð frances,"1/2""",,,Vatnsleysuhylur,Svæði 3
2010-08-31,Lax,,,4.3,74.0,,44,Fluga,Svartur frances,,,,Vatnsleysuhylur,Svæði 3
2010-08-30,Lax,,Hrygna,5.5,81.0,,44,Fluga,Rauð frances,"1 1/2""",Klak,,Vatnsleysuhylur,Svæði 3
2010-08-24,Lax,,Hængur,2.0,57.0,X,44,Fluga,Snælda,,Sleppt,,Vatnsleysuhylur,Svæði 3
2010-08-24,Lax,,Hængur,2.6,62.0,,44,Fluga,Rauð frances,,,,Vatnsleysuhylur,Svæði 3
2010-08-22,Lax,,Hrygna,7.2,89.0,,44,Fluga,Sunray shadow,,Klak,,Vatnsleysuhylur,Svæði 3
2010-08-20,Lax,,Hængur,7.9,92.0,,44,Fluga,Allys shrimp,12,Klak,,Vatnsleysuhylur,Svæði 3
2010-08-19,Lax,,Hængur,3.0,65.0,,44,Fluga,,,,,Vatnsleysuhylur,Svæði 3
2010-08-18,Lax,,Hrygna,4.6,76.0,X,44,Fluga,Sunray shadow,,,,Vatnsleysuhylur,Svæði 3
2010-08-16,Lax,,Hængur,2.8,64.0,,44,Fluga,Hairy Mary hitch,14,,,Vatnsleysuhylur,Svæði 3
2010-08-16,Lax,,Hrygna,5.1,79.0,X,44,Fluga,Hairy Mary hitch,14,,,Vatnsleysuhylur,Svæði 3
2010-08-13,Lax,,Hængur,7.7,91.0,,44,Fluga,Sunray shadow,,Klak,,Vatnsleysuhylur,Svæði 3
2010-08-13,Lax,,Hrygna,5.1,79.0,,44,Fluga,Snælda svört,,Klak,,Vatnsleysuhylur,Svæði 3
2010-08-12,Lax,,Hængur,2.5,62.0,,44,Fluga,Rauð frances,,,,Vatnsleysuhylur,Svæði 3
2010-08-11,Lax,,Hængur,2.0,60.0,,44,Fluga,Rauð frances,,Halalús,,Vatnsleysuhylur,Svæði 3
2010-08-10,Lax,,Hrygna,6.5,86.0,,44,Devon,Devon,,,,Vatnsleysuhylur,Svæði 3
2010-08-09,Lax,,Hængur,4.3,74.0,,44,Fluga,Rauð frances,,,,Vatnsleysuhylur,Svæði 3
2010-08-05,Lax,,Hængur,2.5,54.0,,44,Spónn,Grænn toby,,,,Vatnsleysuhylur,Svæði 3
2010-08-05,Lax,,Hængur,2.0,53.0,,44,Spónn,Grænn toby,,,,Vatnsleysuhylur,Svæði 3
2010-08-03,Lax,,Hrygna,6.0,84.0,,44,Fluga,Toby,,Klak,,Vatnsleysuhylur,Svæði 3
2010-08-03,Lax,,Hængur,8.0,87.0,,44,Spónn,Toby,,,,Vatnsleysuhylur,Svæði 3
2010-08-03,Lax,,Hængur,6.0,85.0,,44,Spónn,Toby,,,,Vatnsleysuhylur,Svæði 3
2010-08-03,Lax,,Hængur,3.0,65.0,,44,Fluga,Rauð frances,,,,Vatnsleysuhylur,Svæði 3
2010-08-03,Lax,,Hængur,3.0,65.0,,44,Fluga,Rauð frances,,,,Vatnsleysuhylur,Svæði 3
2010-08-02,Lax,,Hængur,8.4,94.0,,44,Fluga,Frances,,Klak,,Vatnsleysuhylur,Svæði 3
2010-08-02,Lax,,Hængur,2.7,63.0,,44,Fluga,Hitch,,,,Vatnsleysuhylur,Svæði 3
2010-08-02,Lax,,Hængur,2.0,57.0,,44,Fluga,Svört frances,"1""",,,Vatnsleysuhylur,Svæði 3
2010-07-31,Lax,,Hængur,5.1,79.0,,44,Spónn,Toby,,,,Vatnsleysuhylur,Svæði 3
2010-07-31,Lax,,Hængur,2.0,57.0,,44,Maðkur,,,,,Vatnsleysuhylur,Svæði 3
2010-07-31,Lax,,Hrygna,2.5,62.0,X,44,Fluga,Frances,,,,Vatnsleysuhylur,Svæði 3
2010-07-28,Lax,,Hængur,9.0,94.0,,44,Fluga,Blue charm hitch,"1/2""",,,Vatnsleysuhylur,Svæði 3
2010-07-27,Lax,,Hængur,5.5,80.0,,44,Fluga,Blue charm,,,,Vatnsleysuhylur,Svæði 3
2010-07-26,Lax,,Hængur,7.0,90.0,X,44,Spónn,Toby svartur,,Sleppt,,Vatnsleysuhylur,Svæði 3
2010-07-26,Lax,,Hængur,5.0,78.0,,44,Spónn,Toby,,,,Vatnsleysuhylur,Svæði 3
2010-07-23,Lax,,Hængur,6.3,85.0,X,44,Fluga,Willy gun,"1""",,,Vatnsleysuhylur,Svæði 3
2011-09-02,Lax,,Hængur,3.0,65.0,,44,Fluga,Snælda Blá,"1""",,,Vatnsleysuhylur,Svæði 3
2011-09-02,Lax,,Hængur,2.1,58.0,,44,Fluga,Snælda,"1""",,,Vatnsleysuhylur,Svæði 3
2011-08-20,Lax,,Hængur,6.2,85.0,X,44,Fluga,Rauð Frances,"1/2""",,,Vatnsleysuhylur,Svæði 3
2011-08-18,Lax,,Hængur,2.5,62.0,,44,Fluga,Sunray,"1/2""",,,Vatnsleysuhylur,Svæði 3
2011-07-31,Lax,,Hængur,2.2,57.0,,44,Fluga,Svört Snælda,,,,Vatnsleysuhylur,Svæði 3
2012-08-07,Lax,,Hængur,3.0,65.0,,44,Spónn,Toby,,,,Vatnsleysuhylur,Svæði 3
2012-08-06,Lax,,Hrygna,2.3,60.0,X,44,Spónn,Toby,,,,Vatnsleysuhylur,Svæði 3
2012-07-19,Lax,,Hrygna,5.5,81.0,,44,Fluga,Black sheep,,,,Vatnsleysuhylur,Svæði 3
2012-07-19,Lax,,Hrygna,5.5,80.0,,44,Devon,Devon,"3""",,,Vatnsleysuhylur,Svæði 3
2012-07-13,Lax,,Hængur,3.0,65.0,X,44,Fluga,Sunray shadow,,,,Vatnsleysuhylur,Svæði 3
2012-07-01,Lax,,Hængur,6.5,86.0,,44,Fluga,Friggi,,,,Vatnsleysuhylur,Svæði 3
2013-09-08,Lax,,Hængur,3.6,70.0,,44,Fluga,snælda svört,"1""",Klak,,Vatnsleysuhylur,Svæði 3
2013-09-07,Lax,,Hrygna,5.0,78.0,,44,Fluga,Comet,"1""",Klak,,Vatnsleysuhylur,Svæði 3
2013-09-07,Lax,,Hængur,2.1,58.0,,44,Fluga,Cascade,"1/2""",Hreistursýni,,Vatnsleysuhylur,Svæði 3
2013-08-27,Bleikja,,Hrygna,1.1,49.0,,44,Fluga,Rauður frances cone,"1/4""",,,Vatnsleysuhylur,Svæði 3
2013-07-24,Bleikja,,Hrygna,1.0,40.0,,44,Fluga,Rauð freances keila,,,,Vatnsleysuhylur,Svæði 3
2014-09-07,Lax,,Hængur,6.7,87.0,X,44,Fluga,Munroe Killer,14,,,Vatnsleysuhylur,Svæði 3
2014-08-11,Lax,,Hængur,8.0,93.0,,44,Fluga,Sunray,"1""",,,Vatnsleysuhylur,Svæði 3
2014-08-10,Lax,,Hængur,7.9,92.0,,44,Fluga,Fransis . rauð,"1/2 """,Klak,,Vatnsleysuhylur,Svæði 3
2014-08-03,Bleikja,,Hrygna,2.0,52.0,,44,Maðkur,,,,,Vatnsleysuhylur,Svæði 3
2014-07-29,Lax,,Hængur,5.6,82.0,,44,Spónn,,,Haukur/Hreinn/Fannar,,Vatnsleysuhylur,Svæði 3
2014-07-13,Urriði,,Óþekkt,0.5,33.0,,44,Spónn,,,,,Vatnsleysuhylur,Svæði 3
2015-09-13,Lax,,Hrygna,4.4,75.0,,44,Fluga,Rauð Frances,,,,Vatnsleysuhylur,Svæði 3
2015-08-31,Lax,,Hængur,2.0,57.0,,44,Fluga,rauð frances,10,,,Vatnsleysuhylur,Svæði 3
2015-08-30,Bleikja,,Hrygna,1.0,40.0,X,44,Fluga,Rauð Frances,1/4,IS102824,,Vatnsleysuhylur,Svæði 3
2015-08-21,Lax,,Hrygna,2.3,62.0,,44,Fluga,Rauð Frances (DE),"1""",,,Vatnsleysuhylur,Svæði 3
2015-08-20,Lax,,Hængur,2.7,64.0,,44,Fluga,svört snælda,"1/2""",,,Vatnsleysuhylur,Svæði 3
2015-08-16,Bleikja,Sjóg.,Óþekkt,1.4,46.0,,44,Fluga,Rauð frances,,,,Vatnsleysuhylur,Svæði 3
2015-08-10,Lax,,Hængur,3.0,65.0,,44,Fluga,Frances,,,,Vatnsleysuhylur,Svæði 3
2015-08-10,Bleikja,,Óþekkt,1.2,43.0,,44,Fluga,Frances,12,,,Vatnsleysuhylur,Svæði 3
2015-08-10,Bleikja,,Óþekkt,1.0,40.0,,44,Fluga,Frances,12,,,Vatnsleysuhylur,Svæði 3
2015-08-10,Bleikja,,Hrygna,1.0,46.0,,44,Fluga,Rauður Frances (DE),1,,,Vatnsleysuhylur,Svæði 3
2015-08-10,Bleikja,,Hrygna,1.4,50.0,,44,Fluga,,,snælda sv,,Vatnsleysuhylur,Svæði 3
2015-08-08,Lax,,Hængur,3.2,69.0,,44,Fluga,Sunray shadow,6,,,Vatnsleysuhylur,Svæði 3
2015-08-02,Lax,,Hrygna,2.5,61.0,,44,Fluga,Rauð Frances,,IS102823,,Vatnsleysuhylur,Svæði 3
2015-08-02,Lax,,Hængur,2.0,57.0,,44,Fluga,Rauð Frances,,,,Vatnsleysuhylur,Svæði 3
2015-07-23,Urriði,,Óþekkt,0.4,30.0,X,44,Fluga,Sandsíli,,,,Vatnsleysuhylur,Svæði 3
2015-07-23,Urriði,,Óþekkt,0.4,30.0,X,44,Fluga,Sandsíli,,,,Vatnsleysuhylur,Svæði 3
2015-07-14,Urriði,,Óþekkt,1.5,48.0,,44,Spónn,,,,,Vatnsleysuhylur,Svæði 3
2015-07-13,Urriði,,Óþekkt,1.0,42.0,,44,Maðkur,,,,,Vatnsleysuhylur,Svæði 3
2016-08-07,Bleikja,,Hængur,1.2,43.0,,44,Spónn,,,,,Vatnsleysuhylur,Svæði 3
2016-08-07,Bleikja,,Hrygna,1.0,40.0,,44,Spónn,,,,,Vatnsleysuhylur,Svæði 3
2016-08-03,Bleikja,,Óþekkt,1.7,49.0,X,44,Fluga,Red Frances DE,"1/2""",,,Vatnsleysuhylur,Svæði 3
2016-07-24,Urriði,,Óþekkt,0.9,40.0,,44,Maðkur,,,,,Vatnsleysuhylur,Svæði 3
2016-07-24,Urriði,,Óþekkt,0.7,37.0,,44,Maðkur,,,,,Vatnsleysuhylur,Svæði 3
2016-07-24,Bleikja,,Óþekkt,1.3,44.0,,44,Maðkur,,,,,Vatnsleysuhylur,Svæði 3
2017-07-26,Urriði,Óþekkt,Óþekkt,1.0,42.0,,44,Fluga,Rauð Frances,1/2,,,Vatnsleysuhylur,Svæði 3
2018-08-05,Bleikja,Sjóg.,Hængur,2.0,52.0,,44,Fluga,Rauð Frances ,1/4,,,Vatnsleysuhylur,Svæði 3
2018-08-04,Urriði,Óþekkt,Óþekkt,0.5,33.0,,44,Spónn,,,,,Vatnsleysuhylur,Svæði 3
2019-08-03,Urriði,Staðb.,Óþekkt,1.6,49.0,,44,Fluga,Rauð franses,,,,Vatnsleysuhylur,Svæði 3
2019-07-28,Urriði,Staðb.,Óþekkt,0.5,33.0,,44,Fluga,Sunray,,,,Vatnsleysuhylur,Svæði 3
2019-07-12,Urriði,Staðb.,Hængur,2.0,53.0,,44,Fluga,Sunray,,,,Vatnsleysuhylur,Svæði 3
2020-09-08,Lax,Sjóg.,Hængur,2.4,60.0,X,44,Fluga,,,,,Vatnsleysuhylur,Svæði 3
2020-08-12,Bleikja,Sjóg.,Hængur,1.4,46.0,,44,Fluga,Rauð Frances,"1/2""",,,Vatnsleysuhylur,Svæði 3
2020-08-01,Bleikja,Óþekkt,Hængur,2.3,54.0,X,44,Fluga,,,,,Vatnsleysuhylur,Svæði 3
2020-07-23,Urriði,Staðb.,Hængur,2.6,58.0,,44,Fluga,Svört Frances,"1/2""",,"Vatnshiti 3, rok",Vatnsleysuhylur,Svæði 3
2020-07-12,Urriði,Staðb.,Óþekkt,0.6,35.0,,44,Fluga,Bísmó,,,,Vatnsleysuhylur,Svæði 3
2021-09-10,Lax,Sjóg.,Hrygna,4.8,77.0,X,44,Fluga,R.frances cone,1/4,,,Vatnsleysuhylur,Svæði 3
2021-09-10,Lax,Óþekkt,Hængur,5.0,78.0,X,44,Fluga,Skrauta,,,,Vatnsleysuhylur,Svæði 3
2021-09-06,Lax,Sjóg.,Hængur,4.1,73.0,X,44,Fluga,Frances rauð,,,,Vatnsleysuhylur,Svæði 3
2021-08-17,Lax,Sjóg.,Hængur,3.2,67.0,,44,Fluga,Frances rauð,,,,Vatnsleysuhylur,Svæði 3
2021-08-17,Lax,Sjóg.,Hrygna,4.4,75.0,X,44,Fluga,Frances rauð,,,,Vatnsleysuhylur,Svæði 3
2021-08-15,Lax,Sjóg.,Hængur,2.7,63.0,,44,Fluga,Frances rauð,,,,Vatnsleysuhylur,Svæði 3
2021-08-13,Urriði,Óþekkt,Óþekkt,0.4,29.0,,44,Fluga,Dimmblá,14,,,Vatnsleysuhylur,Svæði 3
2021-08-13,Lax,Sjóg.,Hængur,3.0,65.0,,44,Fluga,Dimmblá,14,,,Vatnsleysuhylur,Svæði 3
2021-08-13,Lax,Sjóg.,Hrygna,5.3,80.0,X,44,Fluga,Frances  rauð,,,,Vatnsleysuhylur,Svæði 3
2021-08-05,Lax,Sjóg.,Hrygna,5.3,80.0,,44,Fluga,Rauð Frances,8,Klak,,Vatnsleysuhylur,Svæði 3
2021-08-05,Lax,Sjóg.,Hængur,2.0,57.0,,44,Fluga,Rauð Frances,8,Maríulax,,Vatnsleysuhylur,Svæði 3
2010-09-18,Lax,,Hrygna,5.3,80.0,X,42,Fluga,Sunray,,,,Stekkjarhylur,Svæði 3
2010-09-08,Lax,,Hængur,2.1,58.0,,42,Fluga,Sunray,"1 1/2""",,,Stekkjarhylur,Svæði 3
2010-08-31,Lax,,,4.5,75.0,,42,Fluga,Rauð frances,,,,Stekkjarhylur,Svæði 3
2010-08-30,Lax,,Hængur,2.0,57.0,,42,Fluga,Snælda,,,,Stekkjarhylur,Svæði 3
2010-08-30,Lax,,Hængur,3.0,65.0,,42,Fluga,Frances,,,,Stekkjarhylur,Svæði 3
2010-08-25,Lax,,Hrygna,2.0,57.0,X,42,Fluga,Snælda svört,,IS1000895 Uggaskemmdur,,Stekkjarhylur,Svæði 3
2010-08-07,Lax,,Hængur,2.5,61.0,,42,Spónn,Toby,,Bakuggi skemmdur,,Stekkjarhylur,Svæði 3
2010-08-07,Lax,,Hrygna,2.5,61.0,,42,Fluga,Snælda þýsk,,Bakuggi skemmdur,,Stekkjarhylur,Svæði 3
2010-07-30,Lax,,Hrygna,5.5,79.0,,42,Maðkur,,,,,Stekkjarhylur,Svæði 3
2010-07-24,Lax,,Hængur,2.5,60.0,,42,Fluga,Svört frances,,,,Stekkjarhylur,Svæði 3
2010-07-21,Lax,,Hængur,4.3,74.0,,42,Fluga,Snælda,,,,Stekkjarhylur,Svæði 3
2010-07-19,Lax,,Hængur,2.1,58.0,,42,Fluga,Snælda,,,,Stekkjarhylur,Svæði 3
2010-07-13,Lax,,,3.6,75.0,,42,Fluga,,,,,Stekkjarhylur,Svæði 3
2010-07-13,Lax,,,2.0,60.0,,42,Fluga,,,,,Stekkjarhylur,Svæði 3
2010-07-04,Lax,,Hængur,8.9,96.0,X,42,Spónn,Toby,,Sleppt,,Stekkjarhylur,Svæði 3
2010-07-04,Lax,,Hrygna,6.5,86.0,X,42,Spónn,Toby,,Sleppt,,Stekkjarhylur,Svæði 3
2010-07-04,Lax,,Hrygna,6.7,84.0,X,42,Fluga,Rauð frances,,,,Stekkjarhylur,Svæði 3
2011-09-07,Lax,,Hrygna,5.7,82.0,,42,Fluga,Skröggur,"1""",Klak / Steinsugubit,,Stekkjarhylur,Svæði 3
2011-09-06,Lax,,Hrygna,6.1,84.0,X,42,Fluga,Svört frances,8,,,Stekkjarhylur,Svæði 3
2011-08-21,Lax,,Hrygna,2.0,57.0,,42,Fluga,Snælda,,,,Stekkjarhylur,Svæði 3
2011-08-21,Lax,,Hængur,2.7,63.0,,42,Fluga,Rauð Frances,,,,Stekkjarhylur,Svæði 3
2011-08-21,Lax,,Hængur,5.1,79.0,X,42,Fluga,Rauð Frances,,Var IS102854 er 102804,,Stekkjarhylur,Svæði 3
2011-08-21,Lax,,Hrygna,6.1,84.0,,42,Fluga,Rauð Frances,,Klak,,Stekkjarhylur,Svæði 3
2011-08-20,Lax,,Hængur,8.0,92.0,,42,Fluga,Rauð frances,"1/2""",Klak,,Stekkjarhylur,Svæði 3
2011-08-17,Lax,,Hængur,2.0,57.0,X,42,Fluga,Sunray shadow,,Sleppt,,Stekkjarhylur,Svæði 3
